id,user_id,name,phone_number,location,starts_on,ends_on,starts_at,ends_at,frequency,separation,recurrence_day,recurrence_week,recurrence_month
89b21bc0-d213-4c40-977f-a45edb4d4890,e5331f66-0213-11ed-92ac-00163ce15103,deploy strategic bandwidth,3265682161,5 Fieldstone Hill,2020-11-28,2021-08-14,21:39,1:10,DAILY,11,6,,
e55c2231-162f-4d75-9250-afa1eaca9ab8,e5331f66-0213-11ed-92ac-00163ce15103,envisioneer dynamic e-services,6913456317,406 Mallory Center,2020-09-08,2021-10-10,20:24,11:09,DAILY,7,2,,
a69bb363-8f4b-4433-8fa8-8784d94e4579,e5331f66-0213-11ed-92ac-00163ce15103,integrate viral mindshare,1456716238,605 Brown Park,2020-09-30,2021-12-03,5:40,15:03,DAILY,19,3,,
ff68727b-a5ba-4c6d-b0ed-ca3f05c2da32,e5331f66-0213-11ed-92ac-00163ce15103,maximize frictionless metrics,1764613005,524 Dakota Center,2020-10-29,2021-11-27,1:02,18:10,DAILY,13,1,,
208905e4-c4eb-40a3-ab1b-31598ec2e178,e5331f66-0213-11ed-92ac-00163ce15103,mesh integrated initiatives,6622156176,0 Schurz Crossing,2020-09-13,2022-01-05,20:40,14:35,DAILY,21,0,,
c19783cc-4add-43e3-9d32-ad2945899675,e5331f66-0213-11ed-92ac-00163ce15103,visualize bleeding-edge partnerships,4934730965,63 2nd Plaza,2020-08-24,2022-08-22,22:13,4:43,DAILY,22,1,,
52e37b06-92be-459f-b43b-bfe9378d4af6,e5331f66-0213-11ed-92ac-00163ce15103,engineer virtual mindshare,9317282300,89 Fulton Junction,2020-09-10,2021-07-29,14:20,4:09,DAILY,23,3,,
a018034c-4598-4b3f-9758-69605e5ee93a,e5331f66-0213-11ed-92ac-00163ce15103,generate world-class platforms,5253107464,1 Farmco Drive,2020-11-21,2021-08-12,16:50,22:09,DAILY,29,5,,
d20d786d-997d-4922-bbb9-2fc548de4f86,e5331f66-0213-11ed-92ac-00163ce15103,deliver B2C vortals,1307344506,2 Westerfield Circle,2020-11-02,2021-08-31,18:16,11:43,DAILY,30,4,,
faab0c85-1c78-4495-bf8b-d1d486835d5c,e5331f66-0213-11ed-92ac-00163ce15103,transition innovative mindshare,3226586510,8268 Ridgeway Drive,2020-09-03,2021-12-25,3:17,10:27,DAILY,9,3,,
85fe161f-e50c-4020-a4a6-46aee45295aa,e5331f66-0213-11ed-92ac-00163ce15103,morph intuitive mindshare,4169722394,162 Portage Lane,2020-10-14,2022-07-17,13:40,15:31,DAILY,25,4,,
875bc754-ecff-4df8-aec1-ac9c81058838,e5331f66-0213-11ed-92ac-00163ce15103,iterate real-time e-markets,1089997835,90 School Hill,2020-10-27,2022-07-10,0:54,6:00,DAILY,27,5,,
